,id,first_name,last_name,dob,gender,party,leadership_role,govtrack_id,cspan_id,seniority,total_votes,missed_votes,total_present,state,senate_class
0,A000031,Brockman,Adams,1927-01-13,,D,,400692,,5,550,3,1,WA,3
1,A000069,Daniel,Akaka,1924-09-11,M,D,,300001,8704,3,550,4,0,HI,1
2,B000243,Max,Baucus,1941-12-11,M,D,,300005,1727,13,550,3,0,MT,2
3,B000401,Lloyd,Bentsen,1921-02-11,,D,,401391,,21,550,30,0,TX,1
4,B000444,Joseph,Biden,1942-11-20,M,D,,300008,34,19,550,21,0,DE,2
5,B000468,Jeff,Bingaman,1943-10-03,M,D,,300009,590,9,550,23,0,NM,1
6,B000611,Christopher,Bond,1939-03-06,M,R,,300010,2360,5,550,34,0,MO,3
7,B000639,David,Boren,1941-04-21,M,D,,401604,,13,550,31,0,OK,2
8,B001225,William,Bradley,1943-07-28,M,D,,401709,,13,550,39,1,NJ,2
9,B000780,John,Breaux,1944-03-01,M,D,,300012,,5,550,20,1,LA,3
10,B000919,Hank,Brown,1940-02-12,M,R,,401874,,1,550,9,0,CO,2
11,B000993,Richard,Bryan,1937-07-16,M,D,,400557,,3,550,1,0,NV,1
12,B001057,Dale,Bumpers,1925-08-12,M,D,,402004,,17,550,11,0,AR,3
13,B001076,Jocelyn,Burdick,1922-02-06,F,D,,402022,,1,63,5,1,ND,1
14,B001077,Quentin,Burdick,1908-06-19,,D,,402023,,31,469,45,1,ND,1
15,B001126,Conrad,Burns,1935-01-25,M,R,,300015,,3,550,1,0,MT,1
16,B001210,Robert,Byrd,1917-11-20,M,D,,300016,,33,550,0,1,WV,1
17,C000269,John,Chafee,1922-10-22,M,R,,402412,,15,550,11,0,RI,1
18,C000542,Daniel,Coats,1943-05-16,M,R,,402675,6080,3,550,4,0,IN,3
19,C000567,Thad,Cochran,1937-12-07,M,R,,300023,1200,13,550,8,0,MS,2
20,C000598,William,Cohen,1940-08-28,M,R,,402727,,13,550,4,0,ME,2
21,C000705,Kent,Conrad,1948-03-12,M,D,,300026,2517,5,550,7,0,ND,3
22,C000858,Larry,Craig,1945-07-20,M,R,,300029,,1,550,6,0,ID,2
23,C000877,Alan,Cranston,1914-06-19,,D,,402990,,23,550,73,1,CA,3
24,D000018,Alfonse,D'Amato,1937-08-01,M,R,,403142,,11,550,13,0,NY,3
25,D000030,John,Danforth,1936-09-05,M,R,,403171,103,15,550,24,0,MO,1
26,D000064,Thomas,Daschle,1947-12-09,M,D,,300031,,5,550,2,0,SD,3
27,D000185,Dennis,DeConcini,1937-05-08,M,D,,403346,,15,550,18,1,AZ,1
28,D000366,Alan,Dixon,1927-07-07,,D,,403483,,11,550,48,0,IL,3
29,D000388,Christopher,Dodd,1944-05-27,M,D,,300034,,11,550,2,0,CT,3
30,D000401,Robert,Dole,1923-07-22,M,R,,403515,,23,550,1,0,KS,3
31,D000407,Pete,Domenici,1932-05-07,M,R,,300036,,19,550,9,0,NM,2
32,D000566,David,Durenberger,1934-08-19,M,R,,403669,,13,550,16,0,MN,1
33,E000284,J. James,Exon,1921-08-09,M,D,,403962,,13,550,5,1,NE,2
34,F000062,Dianne,Feinstein,1933-06-22,F,D,,300043,13061,1,0,0,0,CA,1
35,F000268,Wendell,Ford,1924-09-08,M,D,,404219,,18,550,3,1,KY,3
36,F000329,Wyche,Fowler,1940-10-06,,D,,404277,,5,550,14,0,GA,3
37,G000072,Edwin,Garn,1932-10-12,M,R,,404444,,17,550,44,0,UT,3
38,G000236,John,Glenn,1921-07-18,M,D,,404598,,17,550,12,0,OH,3
39,G000321,Albert,Gore,1948-03-31,M,D,,404679,,7,550,119,0,TN,2
40,G000333,Slade,Gorton,1928-01-08,M,R,,400559,,9,550,5,0,WA,1
41,G000352,Bob,Graham,1936-11-09,M,D,,300046,,5,550,6,0,FL,3
42,G000365,Phil,Gramm,1942-07-08,M,R,,300159,,7,550,25,0,TX,2
43,G000386,Charles,Grassley,1933-09-17,M,R,,300048,1167,11,550,0,0,IA,3
44,H000206,Tom,Harkin,1939-11-19,M,D,,300051,2005,7,550,139,0,IA,2
45,H000338,Orrin,Hatch,1934-03-22,M,R,,300052,189,15,550,34,0,UT,1
46,H000343,Mark,Hatfield,1922-07-12,M,R,,405212,,25,550,7,0,OR,2
47,H000445,Howell,Heflin,1921-06-19,M,D,,405310,,13,550,2,0,AL,2
48,H000456,Henry,Heinz,1938-10-23,M,R,,405321,,15,41,0,0,PA,1
49,H000463,Jesse,Helms,1921-10-18,M,R,,300154,,19,550,137,0,NC,2
50,H000725,Ernest,Hollings,1922-01-01,M,D,,300053,,25,550,0,0,SC,3
51,I000025,Daniel,Inouye,1924-09-07,M,D,,300056,2568,29,550,34,2,HI,3
52,J000072,James,Jeffords,1934-05-11,M,R,,300057,,3,550,36,0,VT,1
53,J000189,John,Johnston,1932-06-10,M,D,,406084,,19,550,7,2,LA,2
54,K000017,Nancy,Kassebaum,1932-07-29,F,R,,406188,,13,550,12,0,KS,2
55,K000019,Robert,Kasten,1942-06-19,M,R,,406190,,11,550,24,0,WI,3
56,K000105,Edward,Kennedy,1932-02-22,M,D,,300059,,29,550,7,0,MA,1
57,K000146,J. Robert,Kerrey,1943-08-27,M,D,,400561,,3,550,105,2,NE,1
58,K000148,John,Kerry,1943-12-11,M,D,,300060,1485,7,550,2,0,MA,2
59,K000305,Herb,Kohl,1935-02-07,M,D,,300061,4030,3,550,2,1,WI,1
60,L000123,Frank,Lautenberg,1924-01-23,M,D,,300064,2515,9,550,0,0,NJ,1
61,L000174,Patrick,Leahy,1940-03-31,M,D,,300065,1552,17,550,16,0,VT,3
62,L000261,Carl,Levin,1934-06-28,M,D,,300066,2592,13,550,4,0,MI,2
63,L000304,Joseph,Lieberman,1942-02-24,M,D,,300067,4363,3,550,6,0,CT,1
64,L000447,Trent,Lott,1941-10-09,M,R,,300069,1886,3,550,9,1,MS,1
65,L000504,Richard,Lugar,1932-04-04,M,R,,300070,255,15,550,14,0,IN,1
66,M000019,Connie,Mack,1940-10-29,M,R,,400562,,3,550,8,6,FL,1
67,M000303,John,McCain,1936-08-29,M,R,,300071,7476,5,550,11,0,AZ,3
68,M000355,Mitch,McConnell,1942-02-20,M,R,,300072,2351,7,550,3,0,KY,2
69,M000678,Howard,Metzenbaum,1917-06-04,M,D,,407663,,16,550,11,0,OH,1
70,M000702,Barbara,Mikulski,1936-07-20,F,D,,300073,1396,5,550,10,0,MD,3
71,M000811,George,Mitchell,1933-08-20,M,D,,407786,,11,550,0,0,ME,1
72,M001054,Daniel,Moynihan,1927-03-16,M,D,,400563,,15,550,1,0,NY,1
73,M001085,Frank,Murkowski,1933-03-28,M,R,,300150,,11,550,23,0,AK,3
74,N000102,Don,Nickles,1948-12-06,M,R,,300079,,11,550,18,0,OK,3
75,N000171,Samuel,Nunn,1938-09-08,M,D,,408252,,19,550,11,0,GA,2
76,P000009,Robert,Packwood,1932-09-11,M,R,,408420,,23,550,14,0,OR,3
77,P000193,Claiborne,Pell,1918-11-22,M,D,,408597,,31,550,14,5,RI,2
78,P000513,Larry,Pressler,1942-03-29,,R,,408898,,13,550,1,0,SD,2
79,P000556,David,Pryor,1934-08-29,M,D,,408939,,13,550,172,1,AR,2
80,R000146,Harry,Reid,1939-12-02,M,D,,300082,1683,5,550,8,0,NV,3
81,R000249,Donald,Riegle,1938-02-04,M,D,,409225,,15,550,17,0,MI,1
82,R000295,Charles,Robb,1939-06-26,M,D,,400564,,3,550,0,0,VA,1
83,R000361,John,Rockefeller,1937-06-18,M,D,,300084,1238,7,550,8,0,WV,2
84,R000460,William,Roth,1921-07-22,M,R,,400565,,21,550,36,1,DE,1
85,R000497,Warren,Rudman,1930-05-18,M,R,,409456,,11,550,13,0,NH,3
86,S000055,James,Sanford,1917-08-20,M,D,,409562,,5,550,46,0,NC,3
87,S000064,Paul,Sarbanes,1933-02-03,M,D,,300086,,15,550,0,0,MD,1
88,S000068,James,Sasser,1936-09-30,M,D,,409580,,15,550,2,0,TN,1
89,S000269,John,Seymour,1937-12-03,M,R,,409770,,1,550,54,0,CA,1
90,S000320,Richard,Shelby,1934-05-06,M,D,,300089,1859,5,550,0,0,AL,3
91,S000423,Paul,Simon,1928-11-29,M,D,,409917,,7,550,7,0,IL,2
92,S000429,Alan,Simpson,1931-09-02,M,R,,409923,378,13,550,8,0,WY,2
93,S000606,Bob,Smith,1941-03-30,M,R,,300155,,1,550,2,0,NH,2
94,S000709,Arlen,Specter,1930-02-12,M,R,,300092,,11,550,15,0,PA,3
95,S000888,Ted,Stevens,1923-11-18,M,R,,300094,,23,550,14,0,AK,2
96,S001138,Steven,Symms,1938-04-23,,R,,410588,,11,550,24,1,ID,3
97,T000254,Strom,Thurmond,1902-12-05,M,R,,300157,,36,550,3,0,SC,2
98,W000092,Malcolm,Wallop,1933-02-27,M,R,,411271,,15,550,28,0,WY,1
99,W000154,John,Warner,1927-02-18,M,R,,300099,,13,550,12,0,VA,2
100,W000288,Paul,Wellstone,1944-07-21,M,D,,400566,,1,550,18,0,MN,2
101,W000607,Pete,Wilson,1933-08-23,M,R,,411762,,8,0,0,0,CA,1
102,W000647,Timothy,Wirth,1939-09-22,M,D,,411801,,5,550,69,0,CO,3
103,W000665,Harris,Wofford,1926-04-09,M,D,,411818,,1,496,24,0,PA,1
